test_id,VT1 (VEQ),VT2 (V-Slope),|VT1 - VT2|,Average VT
2_1,1282.0,1337.0,55.0,1309.5
3_1,1410.0,1897.0,487.0,1653.5
4_1,1419.0,1367.0,52.0,1393.0
5_1,1694.0,1406.0,288.0,1550.0
6_1,2017.0,2065.0,48.0,2041.0
7_149,1593.0,1146.0,447.0,1369.5
7_1,2857.0,2544.0,313.0,2700.5
8_1,1589.0,1311.0,278.0,1450.0
9_1,1553.0,2030.0,477.0,1791.5
10_1,3417.0,3305.0,112.0,3361.0
11_1,773.0,1076.0,303.0,924.5
12_1,2252.0,,,
13_1,819.0,679.0,140.0,749.0
1_1,762.0,908.0,146.0,835.0
14_1,1496.0,2732.0,1236.0,2114.0
15_39,1590.0,1199.0,391.0,1394.5
15_27,1496.0,1559.0,63.0,1527.5
15_1,2530.0,3846.0,1316.0,3188.0
16_1,1778.0,1964.0,186.0,1871.0
17_1,1022.0,985.0,37.0,1003.5
18_1,1263.0,1114.0,149.0,1188.5
19_51,1173.0,1901.0,728.0,1537.0
19_1,822.0,729.0,93.0,775.5
20_1,1099.0,1130.0,31.0,1114.5
21_1,1394.0,1729.0,335.0,1561.5
22_1,932.0,1062.0,130.0,997.0
23_1,1465.0,,,
24_1,2040.0,2257.0,217.0,2148.5
25_1,3389.0,3308.0,81.0,3348.5
26_1,2403.0,2359.0,44.0,2381.0
27_1,953.0,1560.0,607.0,1256.5
28_1,970.0,960.0,10.0,965.0
29_1,2058.0,1921.0,137.0,1989.5
30_1,2304.0,2055.0,249.0,2179.5
31_1,2269.0,2306.0,37.0,2287.5
32_1,1811.0,2910.0,1099.0,2360.5
33_1,1496.0,1818.0,322.0,1657.0
34_1,1388.0,1290.0,98.0,1339.0
35_1,2067.0,1388.0,679.0,1727.5
36_42,1404.0,1342.0,62.0,1373.0
36_1,1361.0,1264.0,97.0,1312.5
37_1,884.0,826.0,58.0,855.0
38_1,1211.0,1018.0,193.0,1114.5
39_1,1629.0,1525.0,104.0,1577.0
40_1,1397.0,1227.0,170.0,1312.0
41_1,2492.0,2632.0,140.0,2562.0
42_1,1351.0,2006.0,655.0,1678.5
43_1,2320.0,2336.0,16.0,2328.0
44_1,2099.0,1587.0,512.0,1843.0
45_17,1233.0,2216.0,983.0,1724.5
45_1,2013.0,1414.0,599.0,1713.5
46_1,1771.0,1455.0,316.0,1613.0
47_1,2245.0,2445.0,200.0,2345.0
48_1,1412.0,1358.0,54.0,1385.0
49_1,1491.0,1966.0,475.0,1728.5
50_1,1894.0,1027.0,867.0,1460.5
51_1,1377.0,757.0,620.0,1067.0
52_1,1507.0,1635.0,128.0,1571.0
53_1,2154.0,2127.0,27.0,2140.5
54_1,1140.0,1964.0,824.0,1552.0
55_1,1479.0,1237.0,242.0,1358.0
56_1,1567.0,1567.0,0.0,1567.0
57_13,2518.0,2781.0,263.0,2649.5
57_1,2546.0,2670.0,124.0,2608.0
58_42,2456.0,2573.0,117.0,2514.5
58_18,1021.0,1454.0,433.0,1237.5
58_1,2067.0,2813.0,746.0,2440.0
59_14,1402.0,2152.0,750.0,1777.0
59_1,2259.0,2920.0,661.0,2589.5
60_17,2786.0,2934.0,148.0,2860.0
60_1,1418.0,2634.0,1216.0,2026.0
61_1,1886.0,1386.0,500.0,1636.0
62_1,2888.0,2845.0,43.0,2866.5
63_1,1990.0,2413.0,423.0,2201.5
64_1,1581.0,1115.0,466.0,1348.0
65_1,3126.0,3422.0,296.0,3274.0
66_1,1291.0,2264.0,973.0,1777.5
67_1,1335.0,1279.0,56.0,1307.0
68_1,1722.0,1346.0,376.0,1534.0
69_1,2302.0,1898.0,404.0,2100.0
70_1,2199.0,2300.0,101.0,2249.5
71_1,1931.0,1178.0,753.0,1554.5
72_24,1337.0,2116.0,779.0,1726.5
72_1,972.0,1320.0,348.0,1146.0
74_1,2504.0,2527.0,23.0,2515.5
75_1,1807.0,1295.0,512.0,1551.0
76_1,1237.0,2825.0,1588.0,2031.0
77_1,2088.0,3216.0,1128.0,2652.0
78_1,1611.0,1765.0,154.0,1688.0
79_1,2850.0,3043.0,193.0,2946.5
80_36,1794.0,2490.0,696.0,2142.0
80_1,2530.0,4058.0,1528.0,3294.0
81_1,1444.0,1343.0,101.0,1393.5
82_26,2468.0,2468.0,0.0,2468.0
82_1,2496.0,2723.0,227.0,2609.5
83_1,1442.0,1317.0,125.0,1379.5
84_1,1243.0,1261.0,18.0,1252.0
85_1,1843.0,2072.0,229.0,1957.5
86_1,1713.0,2258.0,545.0,1985.5
87_1,1594.0,2699.0,1105.0,2146.5
88_1,2254.0,2028.0,226.0,2141.0
89_1,1260.0,1234.0,26.0,1247.0
90_1,1560.0,2102.0,542.0,1831.0
91_1,2117.0,2271.0,154.0,2194.0
92_1,950.0,1068.0,118.0,1009.0
93_1,1420.0,2359.0,939.0,1889.5
94_1,1803.0,2382.0,579.0,2092.5
95_1,2035.0,2506.0,471.0,2270.5
96_1,1657.0,,,
97_1,1305.0,1338.0,33.0,1321.5
98_1,3155.0,3099.0,56.0,3127.0
99_54,1635.0,1782.0,147.0,1708.5
99_47,1295.0,1345.0,50.0,1320.0
99_1,1652.0,1513.0,139.0,1582.5
100_1,2405.0,2684.0,279.0,2544.5
101_1,2116.0,2280.0,164.0,2198.0
102_1,2312.0,2486.0,174.0,2399.0
103_1,3241.0,3351.0,110.0,3296.0
104_1,1758.0,,,
105_1,1995.0,2467.0,472.0,2231.0
106_1,1380.0,2536.0,1156.0,1958.0
107_1,1478.0,1333.0,145.0,1405.5
108_4,2237.0,1234.0,1003.0,1735.5
108_1,1456.0,3291.0,1835.0,2373.5
109_12,2131.0,2118.0,13.0,2124.5
109_1,1928.0,2020.0,92.0,1974.0
110_12,937.0,1903.0,966.0,1420.0
110_1,2907.0,2080.0,827.0,2493.5
111_15,2249.0,2276.0,27.0,2262.5
111_1,1951.0,2708.0,757.0,2329.5
112_1,1685.0,1231.0,454.0,1458.0
113_1,1150.0,1972.0,822.0,1561.0
114_1,2568.0,1229.0,1339.0,1898.5
115_1,1007.0,1276.0,269.0,1141.5
116_1,1749.0,1707.0,42.0,1728.0
117_1,1719.0,1388.0,331.0,1553.5
118_4,2194.0,2542.0,348.0,2368.0
118_1,2044.0,1413.0,631.0,1728.5
119_15,2229.0,2271.0,42.0,2250.0
119_1,1596.0,1316.0,280.0,1456.0
120_1,1480.0,1319.0,161.0,1399.5
